Item_Identifier	Outlet_Identifier	Item_Outlet_Sales
FDT59	OUT046	3583.742772
FDB23	OUT046	3617.131988
FDR49	OUT045	304.5382241
FDB03	OUT010	3096.86875
FDN39	OUT045	2825.830602
FDX02	OUT027	3765.611977
FDQ16	OUT027	2037.339794
FDU35	OUT018	1487.491763
NCT29	OUT013	2141.317015
FDZ27	OUT046	750.8562753
FDN57	OUT017	2064.265051
FDA03	OUT018	2407.640807
FDZ36	OUT045	2874.61069
NCU05	OUT013	1528.54205
FDT39	OUT018	2669.970607
FDK60	OUT017	1300.233335
FDZ25	OUT017	2710.876273
FDG12	OUT046	2028.000036
DRB01	OUT019	2558.057733
NCC43	OUT027	4039.077657
FDX13	OUT019	3706.48804
FDM22	OUT049	764.2205754
FDJ03	OUT027	1067.030823
FDU14	OUT018	4149.339876
FDB33	OUT010	2754.805467
FDP27	OUT046	2524.837752
FDO38	OUT010	1053.341949
FDE28	OUT027	3657.699503
FDO27	OUT035	957.4213759
DRL23	OUT027	2140.272969
FDS28	OUT046	667.2448279
FDX24	OUT013	1905.39489
FDZ02	OUT035	1581.082633
FDL46	OUT045	1752.820766
FDS60	OUT027	3181.317948
NCO06	OUT017	158.540051
FDO16	OUT035	1423.188382
FDC60	OUT049	998.6752592
FDA48	OUT018	3200.654512
FDZ36	OUT027	3518.265532
FDK27	OUT045	2022.971717
FDW23	OUT018	533.0977356
FDM14	OUT018	1926.557176
FDM14	OUT013	2142.465817
FDW60	OUT018	3055.503362
FDE21	OUT013	2230.326953
NCM42	OUT035	1750.122189
FDY59	OUT010	1637.713389
DRI49	OUT049	513.061264
FDT28	OUT019	2072.892554
FDQ22	OUT018	752.4778709
FDR60	OUT049	668.2079838
FDC50	OUT019	640.7852156
FDV24	OUT013	2445.87473
DRF48	OUT010	3338.490109
FDQ47	OUT046	-3.290346784
DRN36	OUT049	1338.391609
NCY06	OUT035	1890.515787
FDE52	OUT035	1504.493725
NCB54	OUT045	1946.142683
NCF31	OUT035	2315.184345
FDJ08	OUT027	3016.00886
NCC07	OUT017	1659.764695
NCD19	OUT027	1319.850046
FDL46	OUT049	1882.134902
FDM20	OUT045	3848.577631
NCI06	OUT010	2859.86871
DRM11	OUT035	3918.317599
NCH07	OUT018	2334.710908
FDS23	OUT013	1938.129756
FDO49	OUT018	974.425562
FDS35	OUT049	585.2622859
DRK39	OUT045	1259.288285
DRI39	OUT049	529.8683987
FDV04	OUT017	2017.494904
NCN14	OUT035	2590.155456
FDH08	OUT013	4046.950343
FDS20	OUT046	2688.682849
FDV40	OUT049	1146.533129
FDZ48	OUT010	1556.47721
FDS24	OUT027	1712.497595
FDK44	OUT049	2221.471357
FDS48	OUT045	2517.817397
FDK26	OUT010	3160.549818
FDD23	OUT045	2987.126502
NCH54	OUT017	2320.369963
NCP14	OUT010	1262.210353
FDM60	OUT010	740.9846764
FDV24	OUT017	2042.792842
FDH08	OUT018	3765.623599
FDS12	OUT027	1776.21496
FDR39	OUT027	2989.268871
FDP12	OUT027	991.2039853
DRF60	OUT027	3994.222807
FDC09	OUT035	1715.951311
FDF50	OUT018	2866.269915
FDG28	OUT035	3823.672082
NCE19	OUT017	591.1909684
NCM53	OUT010	1691.673844
NCN18	OUT049	1778.201148
FDF32	OUT035	2956.054894
FDF11	OUT013	4248.556098
DRI59	OUT049	3377.42138
NCG54	OUT035	2451.994777
FDM44	OUT046	1511.146054
FDT57	OUT018	3860.441929
FDV24	OUT046	1985.695663
FDI50	OUT019	3589.804165
FDS09	OUT035	689.2113417
NCC31	OUT027	2859.519718
FDQ07	OUT019	3024.724059
FDC22	OUT017	2604.834067
FDZ56	OUT046	2584.369076
FDZ40	OUT019	735.8654468
FDS46	OUT027	2256.422657
DRD24	OUT045	2233.365469
FDV45	OUT017	2865.033107
FDL26	OUT045	2278.375684
FDA56	OUT018	2155.168339
FDN27	OUT046	1720.50396
FDM20	OUT049	3693.910694
FDO16	OUT017	1361.374153
FDL03	OUT035	3150.597711
FDE58	OUT046	1652.418473
FDI02	OUT027	1870.922044
NCC55	OUT019	323.2708133
FDR03	OUT018	3508.331064
FDB14	OUT017	1183.552911
FDR45	OUT013	4144.101383
NCN07	OUT017	1990.507634
FDM51	OUT019	1673.867367
FDT52	OUT027	4223.913418
FDL26	OUT046	2141.894366
NCZ42	OUT046	3739.351808
DRI47	OUT019	2307.842079
FDW40	OUT013	2334.977105
FDN34	OUT046	2772.089369
FDS01	OUT035	2859.049233
NCG55	OUT045	1813.400684
FDC11	OUT035	892.0520235
FDX35	OUT018	3538.717936
NCB06	OUT046	2197.879086
FDR09	OUT019	3655.305925
FDC53	OUT017	1602.493626
FDY45	OUT013	4479.903808
FDA22	OUT010	2414.918984
FDE02	OUT035	1124.134856
FDW21	OUT045	1814.699399
FDV34	OUT046	1244.223658
FDS59	OUT049	1626.921313
NCW17	OUT017	2021.606902
NCK54	OUT046	1764.383569
FDG17	OUT019	3807.263205
FDG35	OUT017	2880.243774
FDD08	OUT010	736.3733557
NCO07	OUT017	3374.346316
FDJ10	OUT010	1762.229063
FDW36	OUT017	1499.69794
FDW21	OUT010	2057.750748
FDY19	OUT017	1769.634076
DRE03	OUT013	1133.541642
NCC55	OUT049	366.8674031
FDH52	OUT010	1150.648327
FDO09	OUT017	3774.110229
FDU43	OUT045	3720.257045
FDX09	OUT010	2652.592743
FDH40	OUT019	974.7593397
FDW58	OUT017	1703.626239
FDC47	OUT017	3139.796833
NCR41	OUT035	1540.761897
DRG49	OUT035	3683.343693
FDC52	OUT027	2951.383457
FDY13	OUT046	1098.483243
FDY35	OUT013	1202.710746
FDI35	OUT017	2771.281701
NCU18	OUT049	1999.60475
FDY33	OUT018	2390.972823
FDC15	OUT027	2224.611435
FDU01	OUT049	3010.298894
NCU42	OUT046	2627.328198
NCV29	OUT018	2939.126957
NCY30	OUT017	2844.518812
FDQ46	OUT049	1349.613201
FDG58	OUT027	2637.230669
FDK33	OUT017	3385.024469
NCD07	OUT045	1746.752759
NCX29	OUT027	2402.851189
NCT42	OUT013	2730.283923
DRN59	OUT035	591.9437052
FDI44	OUT035	949.1886842
FDA45	OUT049	2129.672968
FDP31	OUT045	566.2691366
FDY01	OUT046	1201.910875
FDT09	OUT018	2358.970759
DRH03	OUT027	2015.108099
FDA36	OUT018	3164.434769
NCF31	OUT017	2292.883435
FDG14	OUT049	2264.17779
FDG28	OUT027	4225.280153
FDU14	OUT049	3777.430694
FDY47	OUT019	1906.560424
FDI56	OUT049	1056.958957
DRD01	OUT013	1210.590813
FDM22	OUT046	996.2692406
FDH33	OUT013	649.0817379
DRZ24	OUT013	2016.424137
NCQ38	OUT046	1640.339366
FDO16	OUT027	1782.288943
FDU07	OUT027	2604.065129
NCB07	OUT013	3197.36372
FDU48	OUT045	1985.997214
NCM43	OUT045	2662.446228
FDR31	OUT010	2374.512731
DRK49	OUT018	753.984168
NCI30	OUT010	3762.586507
DRD60	OUT017	2776.579836
NCG19	OUT046	3075.548684
FDH12	OUT035	1431.176203
FDM32	OUT035	1482.476707
FDM27	OUT035	1980.024644
NCU53	OUT027	3119.059125
NCQ18	OUT046	1020.763126
FDS10	OUT013	3141.046712
FDB33	OUT027	2926.295121
FDI12	OUT013	1503.577634
NCW42	OUT013	3700.381108
NCC06	OUT018	2145.599047
FDW02	OUT017	2011.199009
NCD43	OUT017	1685.392915
FDM57	OUT018	1313.84307
FDA58	OUT017	3365.317856
FDK56	OUT046	2391.498843
FDP52	OUT045	3844.566089
FDW20	OUT018	2082.311484
FDS52	OUT049	1590.348846
NCT29	OUT018	1858.999748
NCL54	OUT013	2907.91862
FDC05	OUT045	2914.267537
FDF34	OUT035	3243.410099
FDP03	OUT027	2290.778255
FDD32	OUT010	1462.424577
FDZ10	OUT045	2155.740432
FDZ40	OUT035	834.2633114
FDD51	OUT018	435.8648805
NCY30	OUT019	2798.349837
FDP58	OUT017	2931.057279
FDV49	OUT017	4129.846663
FDY24	OUT019	84.05409929
NCO55	OUT017	1397.12699
FDR13	OUT017	1897.763676
FDS51	OUT017	949.4857827
FDP26	OUT045	1214.618954
NCB54	OUT027	2335.082281
FDF32	OUT017	2889.790395
FDN31	OUT018	2900.987232
DRM48	OUT017	191.6947459
FDN20	OUT049	2549.797043
DRL01	OUT046	3760.379811
FDV56	OUT049	1726.344397
DRH13	OUT027	2113.19953
FDA03	OUT017	2260.104459
FDF47	OUT027	3602.456622
FDX32	OUT046	1987.434883
FDX57	OUT049	1411.181059
NCA30	OUT045	2574.426889
FDO49	OUT013	1223.418946
FDL04	OUT019	989.477912
DRM48	OUT035	246.6485794
FDR16	OUT013	3456.608961
NCC19	OUT018	2860.426681
NCE42	OUT045	3783.817481
FDY24	OUT017	490.9279865
FDH19	OUT049	2619.838448
FDJ46	OUT013	3024.735399
FDN45	OUT010	3022.61131
FDY08	OUT035	1680.170493
FDZ37	OUT035	1506.733325
NCT30	OUT045	576.9157116
DRY23	OUT018	534.4857168
NCZ30	OUT018	2063.463541
FDC44	OUT018	1281.574019
FDB45	OUT035	1680.115727
FDY04	OUT013	2942.051002
FDM27	OUT046	2617.369576
FDZ43	OUT017	3710.682081
FDT39	OUT019	2549.400589
NCC06	OUT019	1968.242626
FDL15	OUT027	2728.311586
FDL57	OUT017	3913.027893
FDU08	OUT046	1489.295522
FDK40	OUT017	4148.822375
FDQ12	OUT010	3703.066868
FDS48	OUT017	2352.150161
FDP09	OUT045	3321.223217
FDW21	OUT049	1650.632659
FDY25	OUT035	2830.602757
DRE13	OUT017	1347.074188
FDV43	OUT019	283.5994495
FDD22	OUT045	1492.872802
FDM46	OUT019	431.9785171
NCO30	OUT010	3146.80906
FDM25	OUT046	2589.31941
NCN41	OUT049	1722.999025
FDU24	OUT045	1113.481309
FDZ50	OUT046	2661.328197
FDP45	OUT013	4369.55222
NCM54	OUT045	1914.481999
FDW10	OUT019	2393.390132
FDP20	OUT017	1904.031304
FDK32	OUT046	2276.86001
FDN52	OUT049	923.2752987
FDM58	OUT045	1979.014003
FDZ46	OUT027	1966.619969
NCA18	OUT018	1856.458903
FDD35	OUT046	1852.212205
NCK31	OUT035	815.0427469
FDI40	OUT027	1641.664166
FDT50	OUT019	980.6381751
NCT06	OUT046	2455.646379
FDT31	OUT035	3015.511808
FDT45	OUT049	617.5678733
FDT13	OUT045	3007.949802
FDO50	OUT045	1251.718037
NCU18	OUT010	2178.083228
NCR54	OUT049	2681.651069
NCO18	OUT018	2938.206703
FDU09	OUT045	854.8856764
FDT13	OUT018	3105.509479
FDE09	OUT046	1726.992872
NCK53	OUT019	1489.350112
FDG45	OUT049	3371.418037
DRH15	OUT035	391.6644818
FDO21	OUT019	3690.413308
FDD14	OUT027	2675.013521
FDC09	OUT046	1624.42769
FDH45	OUT027	836.8729788
FDV32	OUT046	704.7638149
FDG12	OUT035	2072.843231
FDS32	OUT013	2639.040201
NCL55	OUT018	3900.717397
DRE01	OUT035	3229.495846
DRE15	OUT049	1165.096083
NCL42	OUT045	3837.967762
FDP31	OUT013	878.5073877
FDN33	OUT018	1282.225483
FDZ59	OUT046	2270.259987
FDE45	OUT010	2878.043204
FDJ07	OUT013	2307.587702
FDQ45	OUT018	3177.997025
FDM33	OUT027	3572.037016
FDO15	OUT010	1581.398203
FDM46	OUT013	1275.492247
FDR03	OUT045	3415.350771
FDY49	OUT018	2878.896401
FDQ60	OUT045	1644.571979
FDW10	OUT049	2770.201763
FDO51	OUT049	645.4707945
FDJ40	OUT018	1825.734719
FDS20	OUT018	2880.583408
FDU45	OUT013	2186.211539
FDV02	OUT035	2525.457119
FDN09	OUT046	3683.070621
NCM55	OUT027	3157.068567
FDN23	OUT018	2283.35902
FDY31	OUT010	2349.957127
FDW03	OUT010	1965.035082
FDD14	OUT046	2172.299914
FDV23	OUT017	1623.885563
DRI03	OUT045	2828.122334
FDN13	OUT035	1036.430546
FDF45	OUT027	1495.985225
FDU46	OUT035	1553.167307
FDB57	OUT049	3487.01236
FDV12	OUT049	1665.627994
FDQ58	OUT013	2812.62815
NCA18	OUT017	1690.184258
FDH52	OUT049	1082.541273
FDM24	OUT018	2352.983283
NCP43	OUT027	3227.005961
NCO18	OUT019	2759.539144
FDM32	OUT017	1440.744603
NCL07	OUT017	577.8349879
FDK03	OUT013	4215.384749
FDP59	OUT017	1533.842855
FDQ24	OUT049	3939.363726
FDQ16	OUT018	1784.088232
FDU44	OUT013	2843.088558
FDH28	OUT010	272.0839292
FDV28	OUT019	-375.539416
FDM22	OUT045	912.6589381
FDR56	OUT046	2754.282502
FDV39	OUT049	3078.350208
FDU37	OUT019	740.118657
FDQ11	OUT010	4475.298849
FDX02	OUT045	3405.579307
NCS42	OUT018	1419.570277
FDY57	OUT027	1569.222618
FDB21	OUT049	3173.928608
FDE28	OUT017	3207.91508
FDQ55	OUT017	1906.944132
FDA48	OUT049	3011.654693
FDZ19	OUT045	2500.067835
NCC43	OUT045	3715.080214
NCV18	OUT046	897.5017766
NCA42	OUT018	2633.50866
FDY45	OUT046	3933.467612
NCC30	OUT045	2836.894995
FDM57	OUT013	1597.964882
FDL09	OUT010	2128.100221
FDB09	OUT027	2234.582196
FDT44	OUT035	1555.682446
NCT06	OUT027	2928.987888
FDX26	OUT049	2507.915525
FDK32	OUT013	2758.620219
DRA12	OUT046	2115.718582
FDO46	OUT010	3298.224733
FDE52	OUT013	1818.44066
NCH42	OUT045	3614.392844
FDV08	OUT035	699.225442
FDB47	OUT018	3246.651527
FDC28	OUT010	1725.378329
FDD22	OUT046	1411.064995
FDS07	OUT027	1903.652403
DRI13	OUT045	3463.439743
FDG32	OUT018	2964.441651
FDU14	OUT017	3858.727137
FDD28	OUT019	712.1574114
NCP41	OUT017	1752.640696
FDS08	OUT049	2533.853318
FDX47	OUT045	2570.259688
FDC53	OUT019	1696.683782
FDQ19	OUT035	3935.123518
FDL14	OUT045	2537.14007
FDM33	OUT019	2977.391252
FDA51	OUT045	1315.123155
FDZ27	OUT018	963.6247589
FDT04	OUT046	238.9089911
DRC13	OUT049	1931.069936
FDR16	OUT027	3506.397138
FDQ03	OUT027	3957.102799
FDE38	OUT035	2587.286958
DRH23	OUT027	694.8031094
FDT11	OUT019	2977.512722
FDD09	OUT035	2860.117866
FDR40	OUT045	1540.277429
FDX07	OUT017	2946.210203
FDR07	OUT035	1316.720177
FDA51	OUT017	1272.370431
FDT59	OUT019	3662.540579
FDF20	OUT017	3015.520607
FDR13	OUT045	1925.938941
FDY26	OUT049	3246.648597
FDW04	OUT017	1977.817072
FDK52	OUT017	3300.926473
FDN60	OUT049	2073.655807
FDM09	OUT019	2286.679805
FDP46	OUT049	1084.611998
FDB50	OUT019	269.8647589
NCQ29	OUT049	3621.277216
FDP16	OUT027	4188.012744
FDX33	OUT018	2353.25604
FDP07	OUT010	3425.514209
FDN22	OUT046	3442.948205
FDF39	OUT049	4189.598797
FDS21	OUT017	1044.201481
NCM42	OUT013	2074.953056
FDK50	OUT019	2529.541166
DRF13	OUT027	2697.822959
FDH35	OUT018	2551.855386
FDP60	OUT018	1569.744885
DRJ49	OUT027	2504.784848
NCT42	OUT019	2320.207252
FDE38	OUT049	2471.603734
FDI04	OUT049	2895.178679
NCH54	OUT045	2321.236491
FDT56	OUT049	532.8364859
DRD15	OUT018	3644.583863
FDV58	OUT013	3519.033939
FDP21	OUT049	2930.870617
FDH05	OUT013	3820.937326
FDR10	OUT027	3010.063304
NCP06	OUT045	2321.76217
FDF33	OUT049	1616.640078
DRK37	OUT013	3461.807184
DRH49	OUT045	1479.820001
FDT58	OUT013	2758.573095
FDD41	OUT018	1604.912832
FDP40	OUT018	1932.295425
FDM51	OUT027	2088.307343
FDO45	OUT010	1541.210781
FDW33	OUT010	1341.037615
FDY24	OUT045	1114.867988
FDB10	OUT010	3609.14276
FDM40	OUT035	1676.516863
NCI06	OUT017	2734.173477
FDW12	OUT019	2242.869732
FDX48	OUT027	2864.302222
NCW05	OUT027	1568.794504
FDX27	OUT017	1172.573138
DRM37	OUT045	2843.276733
FDA38	OUT045	3841.432176
FDR36	OUT046	252.838515
FDZ45	OUT046	2868.514103
FDG05	OUT017	2289.014364
FDK28	OUT013	4269.232371
FDV47	OUT045	1272.799881
FDN21	OUT045	2334.95101
FDP20	OUT027	2322.349277
FDI35	OUT045	2827.652695
DRY23	OUT013	803.7582934
FDA56	OUT017	2003.216832
FDB09	OUT013	2180.378597
NCO26	OUT027	2034.855459
FDQ49	OUT018	2601.978974
FDI52	OUT027	1993.773865
FDZ44	OUT027	2201.011779
FDZ09	OUT018	2365.940999
FDY03	OUT049	1543.972153
NCG42	OUT017	1956.067324
DRI13	OUT027	3844.556279
FDQ32	OUT013	2339.346997
FDW16	OUT035	1464.236625
FDU27	OUT046	124.6623144
FDR28	OUT010	2816.177689
FDQ49	OUT010	2635.766988
FDS37	OUT046	1745.329943
FDW26	OUT018	3316.602257
FDX12	OUT018	3978.043389
NCP06	OUT013	2679.152023
FDW45	OUT010	2363.078534
NCN30	OUT049	1436.016065
FDN24	OUT049	378.289098
NCL41	OUT027	871.2137502
FDR02	OUT019	1737.266269
FDD09	OUT010	3052.499776
FDS33	OUT010	1830.083763
FDU22	OUT045	1638.454934
FDI53	OUT013	2535.582956
DRH01	OUT049	2347.015706
FDX32	OUT013	2383.827407
NCP30	OUT018	735.7614399
FDB60	OUT045	3111.459508
FDB14	OUT049	1117.461564
NCP02	OUT035	878.5884907
FDJ10	OUT017	1837.10992
FDG34	OUT046	1866.513804
NCB18	OUT017	1300.544671
FDM16	OUT049	1140.334642
FDW25	OUT018	1432.619644
FDB35	OUT010	1425.80712
DRN11	OUT013	2050.737594
FDF41	OUT019	3069.274381
FDH16	OUT045	1329.44625
NCQ50	OUT018	3419.105123
DRH23	OUT018	419.1356559
DRJ37	OUT013	2620.448572
DRJ24	OUT027	2926.919588
FDY16	OUT035	2680.952754
FDQ27	OUT045	1716.889373
FDZ33	OUT045	2032.18876
FDF29	OUT045	2211.128534
FDA08	OUT049	2445.233106
FDG31	OUT046	1082.732092
FDE34	OUT019	3053.469673
NCR30	OUT027	1382.22281
FDV33	OUT035	4139.101387
DRZ24	OUT018	2152.700585
NCL54	OUT035	2500.496456
FDR12	OUT049	2675.509667
NCC54	OUT046	3399.231499
DRN59	OUT013	1228.293809
FDX50	OUT019	1352.193678
FDV31	OUT027	2856.523072
NCA29	OUT027	3110.945988
FDW60	OUT049	2812.551945
FDX08	OUT017	2865.008827
DRD49	OUT013	3476.01965
FDD33	OUT046	3196.872511
FDW35	OUT013	1131.259414
FDJ36	OUT017	1243.251698
FDV51	OUT035	2600.208029
FDW36	OUT046	1480.353774
FDH35	OUT046	2367.844615
NCS30	OUT027	2177.044707
FDN49	OUT017	245.403918
FDL08	OUT018	3887.286923
FDI09	OUT013	3756.881129
FDP19	OUT018	1535.516522
FDU21	OUT010	433.4206691
NCP41	OUT045	1779.064159
FDY10	OUT013	2049.290739
FDP12	OUT018	723.4936186
NCN26	OUT049	1730.220822
FDK44	OUT013	2697.052431
FDC28	OUT049	1513.309865
FDJ41	OUT027	4536.759093
NCT29	OUT035	1803.942844
NCH42	OUT019	3477.318822
FDU60	OUT018	2676.744872
FDS02	OUT045	2636.089165
FDC51	OUT046	2021.147228
FDU03	OUT013	3029.959661
FDX39	OUT045	3334.675838
NCY05	OUT010	566.8728065
NCL06	OUT027	4273.727236
FDD32	OUT035	1472.599904
NCN41	OUT045	1857.417175
NCX53	OUT049	2168.919869
FDU57	OUT019	1932.46937
FDQ23	OUT046	1590.924813
FDQ52	OUT045	3530.372381
FDC14	OUT045	701.4521147
FDY09	OUT035	2795.377244
FDQ28	OUT045	2428.548891
FDV25	OUT046	3320.787306
FDJ07	OUT035	1914.35483
DRB25	OUT049	1395.637812
FDK52	OUT019	3107.508545
FDY52	OUT027	1491.041852
FDB28	OUT046	2752.149405
FDT36	OUT035	240.1981199
FDV25	OUT017	3394.848888
NCN07	OUT027	2423.001226
FDC57	OUT017	2959.06145
FDQ03	OUT018	3689.765184
FDU23	OUT017	2631.889281
NCX41	OUT035	3378.831822
NCD06	OUT035	455.7959595
FDW08	OUT045	1199.745816
NCU29	OUT017	2280.642532
NCE06	OUT013	2639.337249
FDV52	OUT010	1413.698003
FDB02	OUT017	2829.282692
NCR18	OUT045	754.7206042
FDK16	OUT049	1520.546206
NCQ29	OUT010	3666.832887
FDZ01	OUT019	1820.761142
FDW27	OUT035	2039.079545
FDD17	OUT018	3841.024615
FDW39	OUT013	3194.378137
DRH59	OUT045	1061.638715
FDS52	OUT013	2083.390202
FDU40	OUT027	3416.357454
NCF54	OUT013	3005.105318
FDH46	OUT045	1689.858667
NCP14	OUT049	1187.609695
FDH50	OUT049	2999.951364
DRF15	OUT010	2533.406508
FDV27	OUT027	1806.646517
NCJ06	OUT049	1751.621776
FDN02	OUT018	3141.690708
FDQ51	OUT049	756.0737498
FDQ07	OUT017	3283.530442
FDS45	OUT049	1644.279613
NCJ06	OUT045	1903.18603
FDD36	OUT035	1889.499095
FDY25	OUT045	2875.898193
FDU52	OUT046	2211.579692
DRK47	OUT017	3387.790383
NCL30	OUT017	1901.185214
FDN22	OUT035	3545.451719
NCF30	OUT027	1960.505969
FDK03	OUT035	3902.870801
FDT45	OUT017	728.0179915
NCC54	OUT027	3846.966346
FDP08	OUT018	2886.994792
FDU44	OUT046	2432.845935
DRG39	OUT035	795.6300181
FDU32	OUT049	1836.804593
FDY27	OUT049	2833.862607
NCP54	OUT013	2276.074827
NCZ41	OUT049	1720.982239
DRL49	OUT013	2505.470302
FDI05	OUT018	996.1708272
FDY56	OUT045	3505.227448
DRC13	OUT013	2407.27953
NCV29	OUT017	2821.299398
FDR24	OUT049	1226.456444
FDZ34	OUT018	2931.19286
FDP37	OUT035	1503.004118
FDX08	OUT027	3257.380161
FDS57	OUT045	1928.508544
NCG18	OUT049	1534.719455
FDK25	OUT018	2299.261737
FDH53	OUT049	1285.143931
DRI59	OUT018	3570.338775
FDA52	OUT046	2340.367882
FDT20	OUT010	695.9689842
FDE36	OUT019	2492.114364
FDI24	OUT017	2505.662549
FDB28	OUT018	2977.574005
FDV11	OUT017	2606.139623
FDP01	OUT046	2255.003164
FDD34	OUT027	2987.52051
FDJ50	OUT027	1257.794633
FDZ44	OUT013	2203.480138
DRO59	OUT035	1105.838346
DRB48	OUT045	753.5255082
FDR21	OUT018	2697.316029
NCE42	OUT010	3956.216094
FDO23	OUT046	878.8425219
NCE30	OUT018	3140.407219
FDQ22	OUT035	609.6809585
FDY01	OUT045	1317.319428
FDS08	OUT017	2656.753443
FDG28	OUT018	3980.107948
FDQ51	OUT018	1017.685474
FDB05	OUT017	3658.008589
FDO56	OUT049	1745.872167
FDE02	OUT018	1710.937685
FDN45	OUT017	3072.322261
FDS09	OUT013	1014.188983
NCA54	OUT018	2929.375762
FDP09	OUT010	3447.734601
FDC53	OUT045	1691.020134
NCM55	OUT017	2732.912874
FDL09	OUT018	2412.171278
FDA11	OUT019	1324.236034
FDA50	OUT045	1268.067941
FDC23	OUT017	2822.410557
FDE22	OUT049	2394.323084
FDD23	OUT046	2847.319274
NCA29	OUT049	2617.782835
FDK38	OUT046	2135.811538
DRC13	OUT046	1905.357728
NCP43	OUT049	2691.299184
FDX28	OUT049	1065.509086
FDF08	OUT049	1235.71749
FDZ33	OUT046	1933.338749
FDD10	OUT049	2688.085724
FDO58	OUT017	2468.399132
FDI50	OUT017	3656.399078
FDO58	OUT045	2576.073726
FDX08	OUT013	3236.272844
NCK17	OUT010	759.8006035
FDF39	OUT035	4225.236253
FDU45	OUT010	1953.794029
NCJ18	OUT018	1391.216782
DRC27	OUT019	3592.111528
DRC25	OUT035	1300.630051
FDU59	OUT035	2253.797907
FDU28	OUT035	3174.629164
NCP30	OUT046	549.7110234
FDB39	OUT018	965.3116959
FDE41	OUT013	1670.058392
DRH11	OUT010	737.3723855
FDA58	OUT045	3410.225326
FDU50	OUT046	1626.154481
FDM34	OUT013	2232.498368
FDM44	OUT027	1993.251678
FDR39	OUT045	2664.25455
FDM25	OUT045	2732.13249
FDQ49	OUT049	2373.268489
DRH25	OUT018	1013.113799
FDM09	OUT027	2908.145567
FDL44	OUT019	2615.600388
NCR42	OUT018	616.2419555
DRL59	OUT046	789.047366
FDX43	OUT013	2782.525761
DRK47	OUT010	3466.245596
FDU48	OUT018	2070.787661
FDY12	OUT045	435.5843704
NCN43	OUT018	2151.358916
NCM55	OUT018	2841.708044
FDQ21	OUT027	2456.295287
FDX13	OUT035	3865.948844
NCK30	OUT027	4218.954696
FDG20	OUT049	2301.775469
DRG27	OUT017	297.8949499
FDY14	OUT018	4084.702406
FDP59	OUT035	1576.481636
FDU60	OUT017	2820.773067
NCC18	OUT019	1538.017327
DRJ39	OUT017	3347.712181
FDS07	OUT049	1378.748903
FDM08	OUT027	3848.909561
FDP51	OUT045	1760.327141
FDU16	OUT035	1248.370708
FDH12	OUT013	1813.716969
DRE48	OUT010	3324.712105
