,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
43,NCL19,15.35,0,0.015740089,Others,144.847,OUT018,2009,Medium,2,Supermarket Type2,2453.4069256521143
44,FDP23,6.71,0,0.059565107,Breads,217.2166,OUT010,1998,,2,Grocery Store,3527.5030095234324
45,FDC26,10.195,0,0.126277921,Canned,112.1886,OUT013,1987,High,2,Supermarket Type1,1721.6626122052658
46,FDR14,11.65,0,0.291322397,Dairy,55.8298,OUT010,1998,,2,Grocery Store,5.976354008675116
47,NCS41,12.85,0,0.053433907999999995,Health and Hygiene,183.2608,OUT035,2004,Small,1,Supermarket Type1,2778.5428764847675
48,FDF41,12.15,0,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,1,Supermarket Type1,3452.892900978517
49,FDU34,18.25,0,0.07519492900000001,Snack Foods,124.9046,OUT046,1997,Small,0,Supermarket Type1,1675.5968855254214
50,DRH11,5.98,0,0.075557965,Hard Drinks,57.0614,OUT046,1997,Small,0,Supermarket Type1,640.5789382517178
51,FDM03,12.65,0,0.122928415,Meat,106.6938,OUT013,1987,High,2,Supermarket Type1,1646.3118879922222
52,FDS31,13.1,1,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,,1,Supermarket Type1,2826.2154673432015
53,FDJ20,20.7,1,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,,1,Supermarket Type1,1656.2309567419143
54,FDV44,12.39452824519226,1,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Medium,2,Supermarket Type3,3382.456897336713
55,FDG02,7.855,0,0.011278673000000001,Canned,188.8188,OUT049,1999,Medium,0,Supermarket Type1,2942.4254204566314
56,FDA09,13.35,1,0.0,Snack Foods,179.666,OUT013,1987,High,2,Supermarket Type1,3389.157579037972
57,FDT04,17.25,0,0.10695266099999999,Frozen Foods,38.3822,OUT013,1987,High,2,Supermarket Type1,644.6601886863209
58,FDL58,12.39452824519226,1,0.129825457,Snack Foods,263.2568,OUT019,1985,Small,0,Grocery Store,3812.8170614847404
59,FDE52,10.395,1,0.029947408999999998,Dairy,90.1514,OUT045,2002,,1,Supermarket Type1,1535.8291343605415
60,FDW12,8.315,1,0.035565457,Baking Goods,144.8444,OUT035,2004,Small,1,Supermarket Type1,2343.6744069168635
61,FDL51,20.7,1,0.047760002,Dairy,214.9876,OUT017,2007,,1,Supermarket Type1,3326.514752653944
62,NCY42,12.860394607036962,0,0.015089146999999999,Household,141.347,OUT027,1985,Medium,2,Supermarket Type3,2673.681190075502
63,FDR07,21.35,0,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,,1,Supermarket Type1,1278.2098230807424
64,FDN40,5.88,0,0.086632125,Frozen Foods,152.6998,OUT045,2002,,1,Supermarket Type1,2194.275671763542
65,FDB35,12.39452824519226,1,0.064306056,Starchy Foods,90.3804,OUT027,1985,Medium,2,Supermarket Type3,1746.1951255405002
66,FDA22,7.435,0,0.08493006,Starchy Foods,165.8158,OUT017,2007,,1,Supermarket Type1,2347.1630931956497
67,NCL06,14.65,0,0.072066634,Household,262.5594,OUT046,1997,Small,0,Supermarket Type1,3836.7119191227503
68,FDI35,14.0,0,0.041256807,Starchy Foods,181.2634,OUT013,1987,High,2,Supermarket Type1,3157.069400937424
69,NCW42,18.2,0,0.058587558,Household,221.6456,OUT045,2002,,1,Supermarket Type1,3366.0854883924294
70,NCX06,17.6,0,0.015711434,Household,180.0976,OUT049,1999,Medium,0,Supermarket Type1,2770.2570951920934
71,FDC37,12.860394607036962,0,0.032714163,Baking Goods,108.1938,OUT027,1985,Medium,2,Supermarket Type3,2081.7601906011005
72,FDZ14,7.71,1,0.047782552,Dairy,122.3756,OUT018,2009,Medium,2,Supermarket Type2,2056.204563420277
73,DRG49,7.81,0,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,0,Supermarket Type1,3576.820954509898
74,NCG06,16.35,0,0.029505077,Household,256.2646,OUT045,2002,,1,Supermarket Type1,4033.6550501256243
75,DRC36,13.0,1,0.045076104000000006,Soft Drinks,173.7054,OUT045,2002,,1,Supermarket Type1,2765.415261475213
76,FDV21,12.860394607036962,0,0.29954415300000004,Snack Foods,124.8704,OUT019,1985,Small,0,Grocery Store,848.0180352685893
77,FDB53,13.35,0,0.139452413,Frozen Foods,148.6392,OUT046,1997,Small,0,Supermarket Type1,1775.5689374121212
78,DRP47,12.860394607036962,0,0.24617825699999998,Hard Drinks,252.4382,OUT019,1985,Small,0,Grocery Store,3063.1186044298156
79,FDA14,16.1,0,0.065128984,Dairy,145.17600000000002,OUT013,1987,High,2,Supermarket Type1,2488.750481298026
80,DRC24,17.85,0,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,1,Supermarket Type1,2418.056818961373
81,FDW21,5.34,1,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,2,Supermarket Type2,1903.0378071197192
82,NCH29,5.51,0,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Small,0,Supermarket Type1,1446.14399973314
83,FDU58,6.61,1,0.028987582,Snack Foods,188.6898,OUT013,1987,High,2,Supermarket Type1,3416.133631266286
84,FDY27,6.38,0,0.032078604,Dairy,177.6344,OUT017,2007,,1,Supermarket Type1,2761.4721174044607
85,FDV56,16.1,1,0.013593151000000001,Fruits and Vegetables,108.9596,OUT035,2004,Small,1,Supermarket Type1,1866.6812331356887
86,FDT59,13.65,0,0.015911432,Breads,230.5668,OUT046,1997,Small,0,Supermarket Type1,3583.742771936657
87,FDB23,19.2,1,0.0055886009999999995,Starchy Foods,225.5062,OUT046,1997,Small,0,Supermarket Type1,3617.1319881526106
88,FDR49,8.71,0,0.139510771,Canned,46.2376,OUT045,2002,,1,Supermarket Type1,304.53822411917645
89,FDB03,17.75,1,0.262504325,Dairy,242.2538,OUT010,1998,,2,Grocery Store,3096.868750336118
90,FDN39,19.35,1,0.0,Meat,165.7816,OUT045,2002,,1,Supermarket Type1,2825.83060201622
91,FDX02,12.860394607036962,0,0.056783774,Dairy,223.1404,OUT027,1985,Medium,2,Supermarket Type3,3765.61197734447
92,FDQ16,12.860394607036962,0,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,2,Supermarket Type3,2037.3397937136833
93,FDU35,6.44,0,0.079538056,Breads,99.47,OUT018,2009,Medium,2,Supermarket Type2,1487.4917633806253
94,NCT29,12.6,0,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,2,Supermarket Type1,2141.317014919765
95,FDZ27,7.935,0,0.017156262,Dairy,48.135,OUT046,1997,Small,0,Supermarket Type1,750.8562752872858
96,FDN57,18.25,0,0.054540967999999995,Snack Foods,140.4154,OUT017,2007,,1,Supermarket Type1,2064.2650508561273
97,FDA03,18.5,1,0.045648972999999995,Dairy,145.6102,OUT018,2009,Medium,2,Supermarket Type2,2407.6408072620034
98,FDZ36,6.035,1,0.065917194,Baking Goods,185.72400000000002,OUT045,2002,,1,Supermarket Type1,2874.6106896910387
99,NCU05,11.8,0,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,2,Supermarket Type1,1528.5420502113302
100,FDT39,6.26,1,0.009908113,Meat,151.1366,OUT018,2009,Medium,2,Supermarket Type2,2669.970606628376
101,FDK60,16.5,1,0.094395215,Baking Goods,97.2068,OUT017,2007,,1,Supermarket Type1,1300.233334681434
102,FDZ25,15.7,1,0.02777326,Canned,169.27900000000002,OUT017,2007,,1,Supermarket Type1,2710.876273190377
103,FDG12,6.635,1,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,0,Supermarket Type1,2028.0000355658085
104,DRB01,12.860394607036962,0,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,0,Grocery Store,2558.057733491314
105,NCC43,12.860394607036962,0,0.09233359,Household,250.6066,OUT027,1985,Medium,2,Supermarket Type3,4039.077656845566
106,FDX13,12.860394607036962,0,0.083661793,Canned,248.6092,OUT019,1985,Small,0,Grocery Store,3706.4880397086745
107,FDM22,14.0,1,0.042022999000000005,Snack Foods,53.06399999999999,OUT049,1999,Medium,0,Supermarket Type1,764.2205754021779
108,FDJ03,12.39452824519226,1,0.072044336,Dairy,48.8692,OUT027,1985,Medium,2,Supermarket Type3,1067.030823459896
109,FDU14,17.75,0,0.0,Dairy,249.775,OUT018,2009,Medium,2,Supermarket Type2,4149.3398755600065
110,FDB33,17.75,0,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,,2,Grocery Store,2754.805467366037
111,FDP27,8.155,0,0.119450639,Meat,190.653,OUT046,1997,Small,0,Supermarket Type1,2524.837751640818
112,FDO38,17.25,0,0.121917641,Canned,76.6986,OUT010,1998,,2,Grocery Store,1053.3419485921077
113,FDE28,12.39452824519226,1,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,2,Supermarket Type3,3657.699502787171
114,FDO27,6.175,1,0.179043614,Meat,95.3752,OUT035,2004,Small,1,Supermarket Type1,957.4213758752849
115,DRL23,12.860394607036962,0,0.015230200000000003,Hard Drinks,107.0938,OUT027,1985,Medium,2,Supermarket Type3,2140.2729692653193
116,FDS28,8.18,1,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,0,Supermarket Type1,667.2448279134478
117,FDX24,8.355,0,0.013917468,Baking Goods,92.5462,OUT013,1987,High,2,Supermarket Type1,1905.3948899369316
118,FDZ02,6.905,1,0.038140213,Dairy,96.3726,OUT035,2004,Small,1,Supermarket Type1,1581.0826331969984
119,FDL46,20.35,0,0.054166556,Snack Foods,116.9466,OUT045,2002,,1,Supermarket Type1,1752.8207657997227
120,FDS60,12.860394607036962,0,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,2,Supermarket Type3,3181.3179475422294
121,NCO06,19.25,0,0.108641498,Household,33.0558,OUT017,2007,,1,Supermarket Type1,158.54005096360925
122,FDO16,5.48,0,0.015105338000000001,Frozen Foods,84.625,OUT035,2004,Small,1,Supermarket Type1,1423.1883818039678
123,FDC60,5.425,1,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,0,Supermarket Type1,998.6752592465491
124,FDA48,12.1,0,0.11534200900000001,Baking Goods,220.2114,OUT018,2009,Medium,2,Supermarket Type2,3200.654511849407
125,FDZ36,12.39452824519226,1,0.0,Baking Goods,186.424,OUT027,1985,Medium,2,Supermarket Type3,3518.2655319052137
126,FDK27,11.0,0,0.00896468,Meat,120.6756,OUT045,2002,,1,Supermarket Type1,2022.971717137174
127,FDW23,5.765,0,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,2,Supermarket Type2,533.097735554591
128,FDM14,13.8,0,0.013318,Canned,110.1254,OUT018,2009,Medium,2,Supermarket Type2,1926.5571760702005
129,FDM14,13.8,0,0.01325293,Canned,108.2254,OUT013,1987,High,2,Supermarket Type1,2142.4658173528987
130,FDW60,5.44,1,0.017131453,Baking Goods,177.83700000000002,OUT018,2009,Medium,2,Supermarket Type2,3055.503362345753
131,FDE21,12.8,0,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,2,Supermarket Type1,2230.3269531595615
132,NCM42,6.13,0,0.028316137,Household,109.3912,OUT035,2004,Small,1,Supermarket Type1,1750.122188843441
133,FDY59,8.195,0,0.052562923,Baking Goods,93.9462,OUT010,1998,,2,Grocery Store,1637.7133889983925
134,DRI49,14.15,0,0.18379260000000003,Soft Drinks,81.3276,OUT049,1999,Medium,0,Supermarket Type1,513.0612639605461
135,FDT28,12.860394607036962,0,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,0,Grocery Store,2072.8925537189134
136,FDQ22,16.75,0,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,2,Supermarket Type2,752.4778708984886
137,FDR60,14.3,0,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,0,Supermarket Type1,668.2079837831843
138,FDC50,12.860394607036962,0,0.238990225,Canned,94.7094,OUT019,1985,Small,0,Grocery Store,640.7852155976943
139,FDV24,5.635,0,0.103186396,Baking Goods,151.805,OUT013,1987,High,2,Supermarket Type1,2445.8747300742143
140,DRF48,5.73,0,0.0,Soft Drinks,188.3898,OUT010,1998,,2,Grocery Store,3338.4901094372217
141,FDQ47,7.155,1,0.16818637600000003,Breads,36.5874,OUT046,1997,Small,0,Supermarket Type1,-3.290346784036956
142,DRN36,15.2,0,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,0,Supermarket Type1,1338.3916088585393
143,NCY06,15.25,0,0.061173235,Household,128.5968,OUT035,2004,Small,1,Supermarket Type1,1890.5157868533424
144,FDE52,10.395,1,0.029881147,Dairy,89.5514,OUT035,2004,Small,1,Supermarket Type1,1504.493725236145
145,NCB54,8.76,0,0.05015421900000001,Health and Hygiene,126.9336,OUT045,2002,,1,Supermarket Type1,1946.1426831852223
146,NCF31,9.13,0,0.05183762099999999,Household,152.6024,OUT035,2004,Small,1,Supermarket Type1,2315.1843453712463
147,FDJ08,12.860394607036962,0,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,2,Supermarket Type3,3016.0088596388523
148,NCC07,19.6,0,0.024086626,Household,106.0964,OUT017,2007,,1,Supermarket Type1,1659.764695446127
149,NCD19,12.860394607036962,0,0.013115567,Household,53.7614,OUT027,1985,Medium,2,Supermarket Type3,1319.850046125539
150,FDL46,20.35,0,0.0,Snack Foods,118.9466,OUT049,1999,Medium,0,Supermarket Type1,1882.1349019992049
151,FDM20,10.0,0,0.038764257999999996,Fruits and Vegetables,246.2144,OUT045,2002,,1,Supermarket Type1,3848.5776307333763
152,NCI06,11.3,0,0.07986963,Household,180.46599999999998,OUT010,1998,,2,Grocery Store,2859.868709637609
153,DRM11,6.57,0,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,1,Supermarket Type1,3918.3175987756113
154,NCH07,13.15,0,0.093044518,Household,158.4604,OUT018,2009,Medium,2,Supermarket Type2,2334.710907730685
155,FDS23,4.635,0,0.140771867,Breads,129.4994,OUT013,1987,High,2,Supermarket Type1,1938.1297556438258
156,FDO49,10.6,1,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,2,Supermarket Type2,974.4255619955002
157,FDS35,9.3,0,0.11139344,Breads,65.2826,OUT049,1999,Medium,0,Supermarket Type1,585.2622858865507
158,DRK39,7.02,0,0.049966527000000004,Dairy,82.525,OUT045,2002,,1,Supermarket Type1,1259.2882853221236
159,DRI39,13.8,0,0.09721299800000001,Dairy,58.293,OUT049,1999,Medium,0,Supermarket Type1,529.8683987338336
160,FDV04,7.825,1,0.150863781,Frozen Foods,158.0288,OUT017,2007,,1,Supermarket Type1,2017.494904291816
161,NCN14,19.1,0,0.09190040599999999,Others,182.5608,OUT035,2004,Small,1,Supermarket Type1,2590.155456458422
162,FDH08,7.51,0,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,2,Supermarket Type1,4046.950343466673
163,FDS20,8.85,0,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,0,Supermarket Type1,2688.6828488122046
164,FDV40,17.35,0,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,0,Supermarket Type1,1146.5331290521572
165,FDZ48,17.75,0,0.127140836,Baking Goods,110.5544,OUT010,1998,,2,Grocery Store,1556.4772096760498
166,FDS24,12.39452824519226,1,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,2,Supermarket Type3,1712.4975953293688
167,FDK44,16.6,0,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,0,Supermarket Type1,2221.4713571111533
168,FDS48,15.15,0,0.0,Baking Goods,150.4708,OUT045,2002,,1,Supermarket Type1,2517.8173969328673
169,FDK26,5.46,1,0.053858378,Canned,186.924,OUT010,1998,,2,Grocery Store,3160.549817650004
170,FDD23,9.5,1,0.048784266,Starchy Foods,188.5898,OUT045,2002,,1,Supermarket Type1,2987.1265016714024
171,NCH54,13.5,0,0.073080167,Household,161.49200000000002,OUT017,2007,,1,Supermarket Type1,2320.3699630995507
172,NCP14,8.275,0,0.184602443,Household,106.5306,OUT010,1998,,2,Grocery Store,1262.2103527639556
173,FDM60,10.8,1,0.080582001,Baking Goods,39.4138,OUT010,1998,,2,Grocery Store,740.984676385393
174,FDV24,5.635,0,0.103856487,Baking Goods,151.305,OUT017,2007,,1,Supermarket Type1,2042.7928420870849
175,FDH08,7.51,0,0.017500078999999998,Fruits and Vegetables,228.801,OUT018,2009,Medium,2,Supermarket Type2,3765.6235988296503
176,FDS12,12.860394607036962,0,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,2,Supermarket Type3,1776.2149596615782
177,FDR39,12.860394607036962,0,0.08339348099999999,Meat,180.6292,OUT027,1985,Medium,2,Supermarket Type3,2989.268871003871
178,FDP12,12.39452824519226,1,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,2,Supermarket Type3,991.2039853465212
179,DRF60,12.860394607036962,0,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,2,Supermarket Type3,3994.2228070915517
180,FDC09,15.5,1,0.026297031000000002,Fruits and Vegetables,102.7332,OUT035,2004,Small,1,Supermarket Type1,1715.9513110607004
181,FDF50,4.905,0,0.117808305,Canned,198.5768,OUT018,2009,Medium,2,Supermarket Type2,2866.269914968885
182,FDG28,9.285,1,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,1,Supermarket Type1,3823.6720823579526
183,NCE19,8.97,0,0.093540749,Household,55.4956,OUT017,2007,,1,Supermarket Type1,591.1909684463753
184,NCM53,18.75,0,0.08710582300000001,Health and Hygiene,108.228,OUT010,1998,,2,Grocery Store,1691.673843903107
185,NCN18,8.895,0,0.0,Household,110.9544,OUT049,1999,Medium,0,Supermarket Type1,1778.2011484547074
186,FDF32,16.35,0,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,1,Supermarket Type1,2956.0548937991844
187,FDF11,10.195,1,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,2,Supermarket Type1,4248.5560978694775
188,DRI59,9.5,0,0.040898157000000004,Hard Drinks,225.2088,OUT049,1999,Medium,0,Supermarket Type1,3377.421379522857
189,NCG54,12.1,0,0.07979117599999999,Household,169.5106,OUT035,2004,Small,1,Supermarket Type1,2451.994777195243
190,FDM44,12.5,0,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,0,Supermarket Type1,1511.1460535856604
191,FDT57,15.2,0,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,2,Supermarket Type2,3860.441929482331
192,FDV24,5.635,0,0.10327233599999999,Baking Goods,151.205,OUT046,1997,Small,0,Supermarket Type1,1985.6956633709633
193,FDI50,12.39452824519226,1,0.054001525999999994,Canned,227.8352,OUT019,1985,Small,0,Grocery Store,3589.804165085443
194,FDS09,8.895,1,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,1,Supermarket Type1,689.2113417138207
195,NCC31,12.860394607036962,0,0.019774239,Household,154.5972,OUT027,1985,Medium,2,Supermarket Type3,2859.5197183287673
196,FDQ07,12.39452824519226,1,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,0,Grocery Store,3024.7240594969808
197,FDC22,6.89,1,0.13720009,Snack Foods,191.882,OUT017,2007,,1,Supermarket Type1,2604.8340673050734
198,FDZ56,16.25,0,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,0,Supermarket Type1,2584.3690755298267
199,FDZ40,12.860394607036962,0,0.07035480599999999,Frozen Foods,53.9298,OUT019,1985,Small,0,Grocery Store,735.8654468224049
200,FDS46,12.39452824519226,1,0.047028482999999996,Snack Foods,118.3782,OUT027,1985,Medium,2,Supermarket Type3,2256.422656573952
201,DRD24,13.85,0,0.030857537999999997,Soft Drinks,140.6154,OUT045,2002,,1,Supermarket Type1,2233.365469116059
202,FDV45,16.75,0,0.045302246,Snack Foods,189.1556,OUT017,2007,,1,Supermarket Type1,2865.0331072781883
203,FDL26,18.0,0,0.073341257,Canned,155.7972,OUT045,2002,,1,Supermarket Type1,2278.3756838741065
204,FDA56,9.21,0,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Medium,2,Supermarket Type2,2155.1683387285084
205,FDN27,20.85,0,0.039562497,Meat,118.1808,OUT046,1997,Small,0,Supermarket Type1,1720.5039597932046
206,FDM20,10.0,0,0.038745947999999995,Fruits and Vegetables,245.0144,OUT049,1999,Medium,0,Supermarket Type1,3693.910693932081
207,FDO16,5.48,0,0.015193653,Frozen Foods,82.825,OUT017,2007,,1,Supermarket Type1,1361.3741526446283
208,FDL03,19.25,1,0.027075481000000002,Meat,195.611,OUT035,2004,Small,1,Supermarket Type1,3150.597710529142
209,FDE58,18.5,0,0.052068722000000005,Snack Foods,117.0124,OUT046,1997,Small,0,Supermarket Type1,1652.4184726204403
210,FDI02,12.39452824519226,1,0.11401030599999999,Canned,112.2202,OUT027,1985,Medium,2,Supermarket Type3,1870.9220442097903
211,NCC55,12.860394607036962,0,0.111641021,Household,38.8848,OUT019,1985,Small,0,Grocery Store,323.27081327248015
212,FDR03,15.7,1,0.008771522,Meat,205.798,OUT018,2009,Medium,2,Supermarket Type2,3508.3310640791715
213,FDB14,20.25,1,0.10330496800000001,Canned,92.61200000000001,OUT017,2007,,1,Supermarket Type1,1183.5529106814865
214,FDR45,10.8,0,0.028919202999999997,Snack Foods,240.9222,OUT013,1987,High,2,Supermarket Type1,4144.101382569705
215,NCN07,18.5,0,0.034136703,Others,130.0284,OUT017,2007,,1,Supermarket Type1,1990.5076341264175
216,FDM51,12.39452824519226,1,0.045393469000000006,Meat,102.2674,OUT019,1985,Small,0,Grocery Store,1673.867366562641
217,FDT52,12.39452824519226,1,0.047199898,Frozen Foods,244.9144,OUT027,1985,Medium,2,Supermarket Type3,4223.913418243334
218,FDL26,18.0,0,0.07319282,Canned,154.2972,OUT046,1997,Small,0,Supermarket Type1,2141.894365803091
219,NCZ42,10.5,0,0.011287928999999999,Household,238.9248,OUT046,1997,Small,0,Supermarket Type1,3739.351808456242
220,DRI47,12.860394607036962,0,0.036628533,Hard Drinks,145.6128,OUT019,1985,Small,0,Grocery Store,2307.842078827005
221,FDW40,14.0,1,0.105057952,Frozen Foods,141.1812,OUT013,1987,High,2,Supermarket Type1,2334.9771048383554
